"","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01"
"Hunters Point",324900,324900,205000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560800,488500,498500,NA,NA,NA
"Lakeshore",828000,799000,799000,799000,779000,799000,842000,988000,799000,825000,988000,799000,879000,875000,875000,779000,779000,789000,875000,549998,849000,879000,829000,829000,815000,815000,799000,NA,799000,796000,796000,799000,799000,799000,799000,779000,779000,NA,NA,NA,798000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919950,849000,NA,NA,NA,NA,NA,NA,NA,NA,NA,998000,NA,NA,NA,NA
"Parnassus - Ashbury",1299000,1399000,1399900,1345000,1098000,1345000,995000,1249000,1299800,1299800,1350000,1395000,1198000,1198000,1095000,1395000,1299800,1195000,1250000,1190000,1095000,998000,998000,989000,989000,1038000,1075000,1038000,989000,1075000,1249000,1101000,1249000,1595000,1875000,1425000,1425000,1395000,1395000,1575000,1249000,1499000,1499000,1549000,1595000,1620000,NA,1595000,1575000,1050000,NA,NA,NA,NA,NA,1150000,1099000,1195000,1300000,1350000,NA,NA,NA,NA,NA,NA,NA,1689000,1499000,1499000,NA,NA,NA,NA,NA,NA,NA
"Yerba Buena",685000,719000,685000,689000,689000,689000,659000,640000,616300,669000,659000,650000,659000,699000,729000,685000,728000,719000,750000,750000,749000,690000,665000,739000,699000,650000,690000,679000,690000,699000,549000,589000,685000,750000,750000,715000,695000,695000,749000,725000,725000,725000,1800000,699000,699000,730000,749000,775000,650000,599950,699000,899000,699000,699000,770000,799000,795000,779000,950000,749000,698000,699900,749000,799000,NA,NA,899000,799000,930000,1045000,930000,938000,980000,995000,1100000,1500000,1500000
"Mission Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015000,NA,878000,NA,NA,NA,990000,979000,875000,649000,930000,930000,930000,930000,929000,929000,929000,999000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725000,NA,NA,NA,NA,NA,659000,699000,854000,895000,999000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199000,NA,NA,NA,NA,NA,NA
"Inner Parkside",1095000,NA,NA,NA,NA,NA,NA,885000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799000,799000,799000,799000,NA,NA,769900,769900,785000,769900,769900,785000,799000,775000,769900,849000,849000,NA,855000,749000,NA,NA,NA,NA,NA,NA,NA,879000,NA,NA,879000,879000,799000,799000,778000,NA,799000,NA,749000,NA,NA,NA,NA,825000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miraloma Park",899000,899000,849000,NA,899000,899000,859000,849000,849000,849000,879000,880000,868000,845000,795000,779000,799000,895000,849000,849000,899000,799000,799000,749000,729000,739000,799000,699950,699950,739000,775000,749000,749000,719000,719000,699000,698000,699000,750000,750000,699000,699000,699000,738000,750000,699000,789000,749000,789000,715000,NA,NA,NA,NA,899000,849000,965000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949000,NA,NA,995000,1049000,1049000,NA,NA,NA
"Jordan Park - Laurel Heights",980000,NA,NA,NA,NA,NA,859000,859000,975000,1749000,1425000,1994000,1695000,1695000,NA,989000,995000,995000,1350000,889000,899000,1350000,1350000,869000,868000,868000,NA,NA,845000,868000,1230000,NA,NA,NA,1089000,840000,775000,659000,750000,NA,NA,NA,NA,NA,NA,1000000,NA,NA,799000,NA,NA,NA,NA,NA,NA,2295000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Presidio Heights",1499000,1495000,1499000,1595000,1595000,1595000,1595000,3650000,2625500,1525000,1295000,1295000,1290000,1369000,1525000,1525000,3295000,1695000,1695000,2150000,1695000,1680000,1695000,1385000,1595000,1750000,2197000,1750000,1385000,1995000,945000,945000,1625000,1850000,2099000,1999000,2550000,3225000,3225000,1595000,2175000,3200000,NA,4200000,3995000,3895000,3895000,3195000,3195000,1795000,1826000,NA,4600000,4600000,3125000,12500000,2900000,1750000,2900000,3195000,2695000,1390000,NA,NA,NA,2295000,3250000,3250000,NA,NA,1975000,2850000,NA,NA,NA,NA,NA
"Financial District",1395000,1400000,1400000,1300000,1399000,1895000,1395000,1500000,1500000,1500000,1095000,1000000,1095000,1000000,995000,900000,800318,800318,875000,889000,875000,1195000,1299000,1195000,1050000,1050000,1050000,1050000,949000,900000,877500,995000,877500,995000,1000000,1000000,995000,1000000,1169000,1399000,1399000,1245000,1295000,1295000,1285000,1295000,1150000,1275000,1325000,699000,NA,NA,NA,NA,NA,NA,1325000,1449000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
