"","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99545454545454,NA,NA,NA,NA,NA,NA,1.78929765886288,NA,NA,NA,NA,0.923076923076923,NA,NA,2.24673202614379,2.21428571428571,1.916,NA,NA,NA,NA,0.735294117647058,NA,2.24324324324324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacific Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,2.875,2.78571428571429,2.77272727272727,2.93931731984829,2.9,2.93931731984829,2.79050279329609,2.79050279329609,3.03347280334728,2.93931731984829,3.03347280334728,3.24375,3.21428571428571,2.79189944134078,3.25,3.55182926829268,3.43347639484979,3.6875,3.47517730496454,3.41379310344827,3.43347639484979,3.08953341740227,3.55,3.94632206759443,2.90909090909091,3.16666666666667,3.13888888888889,3.26666666666667,3.36247478143914,3.24786324786325,3.77155172413793,3.67241379310345,3.59333333333333,3.63157894736842,3.67713004484305,3.62976406533575,3.62976406533575,4.02298850574713,4,3.9,3.89531345100426,3.87864077669903,4.41037735849057,4.35987903225806,4.06338694418165,4.36,4.40573770491803,4.44803881924788,5,5,5
"Nob Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68965517241379,3.66812227074236,3.66812227074236,3.18,3.49344978165939,3.81818181818182,3.54,3.57491062723432,3.42298288508557,3.42857142857143,3.27272727272727,3.80824372759857,3.80824372759857,4.00909090909091,3.83333333333333,3.83333333333333,3.84,3.8659793814433,3.75,3.89845874886673,4.14814814814815,4.20072661217075,4.44444444444444,3.95833333333333,4,3.54223433242507,3.97614314115308,3.36351875808538,3.57142857142857,2.58891213389121,3.48977135980746,3.89908256880734,3.49397590361446,3.49397590361446,3.046875,3.77450980392157,3.95833333333333,4.54545454545454,4.82954545454545,4.96664195700519,4.91256830601093,4.8,4.86284289276808
"Inner Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35454545454545,NA,2.5,NA,NA,NA,NA,0.714285714285714,0.833333333333333,1.07903965470731,1,1,1.19642857142857,NA,1.00574712643678,2.44444444444444,NA,1.50066401062417,0.850591715976331,1.06844919786096,1.12676056338028,2.74862568715642,0.977653631284916,1.68868921775898,2.6,NA,1.05927152317881,2.97435897435897,2.72727272727273,2.95,NA,NA,NA,NA,NA,NA,NA,NA,3.26666666666667
"Noe Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85829145728643,NA,2.25903614457831,NA,NA,NA,NA,3.57368421052632,NA,2.99,2.91959798994975,2.6865671641791,2.80952380952381,3.11462450592885,2.94974874371859,2.88888888888889,3.125,2.96273671350031,2.82352941176471,3.01507537688442,3.32666666666667,3.33165829145729,2.27156712608474,2.45454545454545,3.89447236180904,3.96666666666667,3.67839195979899,3.4,2.665,2.44444444444444,2,2.82608695652174,3.45779220779221,3.26666666666667,3.29166666666667,4.5,4,3.30756013745704,3.92857142857143,4,3.94444444444444,4.06740267286461,3.91959798994975,4.08040201005025,4.11111111111111,4.37910541132312,4.37910541132312,4.3
"Outer Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26817878585724,NA,NA,2.34948604992658,NA,NA,NA,NA,NA,NA,2.03720106288751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.33747260774288,2.91059280855199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Outer Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1875,NA,NA,NA,2.41013071895425,1.52905198776758,NA,NA,NA,NA,NA,1.25,2.19888268156424,1.64,1.91176470588235,2.81818181818182,2.625,2.3574144486692,NA,2.81196581196581,2.70714285714286,NA,NA,NA,3.18181818181818,NA,3.11875
"Inner Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07095046854083,0.95307917888563,0.666666666666666,1.98,2.52666666666667,1.25763358778626,2.10989010989011,2.25786163522013,2.24137931034483,2.73607748184019,2.26818181818182,2.26818181818182,NA,1.90238095238095,2.6875,NA,NA,NA,3.46320346320346,2.97786292039166,3.02222222222222,3.16666666666667,3.28125,2.9757343550447,NA,3.23404255319149,2.48888888888889,NA,4.15392156862745,3.89729299363057,3.36990595611285,3.33333333333333
"Russian Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,3.41176470588235,2.18181818181818,2.4,2.4375,3.4452296819788,3.33333333333333,3.05309734513274,3.6231884057971,3.6231884057971,3.08181818181818,3.28162291169451,4,3.58208955223881,3.50789935634874,3.5,3.96036585365854,3.90702274975272,3.90702274975272,4.85212569316081,4.15754923413567,3.6875,4.40573770491803,3.75,4.25974025974026,4.14930555555556,4.14930555555556,3.77586206896552,3.90702274975272,3.9,3.77586206896552,3.77586206896552,4.14285714285714,3.75,4.13669064748201,4.21428571428571,3.9198606271777,3.77586206896552,4.16666666666667,4.1773231031543,4.44444444444444,4.44444444444444,4.54545454545454,4.90909090909091
