"","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Outer Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,NA,2400,NA,1995,1995,1860,1800,NA,3199,3199,2350,3200,2350,2400,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,2800,NA,NA,NA,NA,NA,NA,NA,NA
"Portola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,2650,2475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,2895,2850,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Outer Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2300,NA,NA,2450,2450,NA,NA,NA,NA,NA,NA,NA,2700,3500,2600,NA,NA,2450,NA,NA,3000,NA,NA,NA,2700,2700,3000,2995,NA,2700,2900,2700,2800,2900,2700,2850,3095,3250,3250,3290,3300,3290,3600,3995,3600,3600,3800
"Inner Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,1880,NA,NA,NA,NA,NA,3000,2750,2700,2000,2450,2300,2000,1900,1945,2150,3150,3295,2000,1950,2065,2065,2065,2500,2100,2749,2749,3000,2650,3350,2950,3562,4195,3950,3900,3206,3795,3280,2895,3000,3554,3700,3650
"Outer Parkside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,2700,2700,NA,NA,NA,NA,NA,NA,2200,NA,NA,NA,NA,2950,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russian Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3095,3095,3100,3200,2975,2350,2950,2695,3000,3000,3450,3275,3600,3800,3650,3450,3759,3724,3900,3895,4000,4350,4350,4800,4500,4500,4074,3699,4500,4600,4935,4935,5600,5450,5300,4995,4600,4305,4795,4800,4800,4800,4480,4108,4095,4250,4200,4500,4225,4700,5000,4225
"Hayes Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,1700,1775,NA,2395,NA,2600,2695,3400,2150,NA,1950,2395,2800,2695,2600,2700,3575,3750,3740,3250,3450,3500,4500,4500,4400,3500,3795,3950,3495,3495,3700,2850,3295,2900,3335,3510,3995,3750,3890,3750,3900,4635,3890,4640,3950,4470,4345,4420,4650,4500
"Marina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2650,2500,2500,2595,2600,2695,3500,2850,2700,3500,2975,3250,2500,3195,2450,2395,2895,3000,3000,2700,3000,3200,3200,2624,2750,2750,2874,2924,2650,3500,4000,3395,3820,3820,4100,3545,4309,3950,3800,3495,3800,3609,3700,4200,3795,4800,3450,3000,3200,3250,3400,4500,4200
"Van Ness - Civic Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,2100,2000,2100,2100,2500,2280,2200,2550,2850,2800,2800,2500,2500,2850,2900,2526,2961,2961,2860,2495,2859,3144,3200,3211,3157,3238,3385,3195,3495,3153,3425,3250,3200,3200,3750,3600,3700,3600,3560,3800,3603,3800,3866,3700,3310,3431,3600,3545,3700,3900,3750,3790
"South Beach",3500,3500,3300,3500,3500,3200,3200,3200,3000,3200,3295,3295,3200,3500,3950,3950,3950,3500,3500,3995,3725,3505,3300,3600,3222,3500,3287,3340,3785,3875,3800,3825,3782,3809,3830,3800,4000,4000,3673,4000,4000,4000,4050,4200,4495,4000,4035,4100,3900,4200,4198,4300,3800,4066,4200,5000,5000,4850,5100,5200,4750,4700,4579
"Lower Pacific Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,1999,2600,2800,2900,2600,3400,2900,3400,3400,2739,2739,2574,2566,2566,2489,2579,2549,2599,2784,2729,2895,2795,2555,2550,2524,2729,2725,3500,3688,3895,3850,2900,3200,3000,3500,2895,2795,3195,3650,3495,2793,3495,3350,3900,3600,3690,3925,3925,4200,3895,3900
"Eureka Valley - Dolores Heights - Castro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300,2795,2795,NA,NA,NA,NA,NA,3700,3990,3725,4500,4500,4500,4500,4500,4000,4495,4500,3400,3975,3850,3850,3400,3880,4000,3500,3695,3888,3800,3200,3995,3895,3400,3500,3730,3995,3900,4500,5000,4250,4000,4300,4550,4275,4400,4250,4450,4600,5000,5150,4895
"Western Addition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2550,2285,2300,2320,2555,1955,1895,NA,3200,3225,2400,2325,2325,2350,2895,2595,2400,2310,2200,2200,2895,2780,2600,2980,2500,2980,3500,NA,1950,3420,3320,3260,2865,3500,NA,4225,4250,3750,4225,4735,4000,4735,4735,3975,NA,4000,4215,4000,NA,3600,NA,4210,4425
